id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
130,6,0,3,2,0,0,0,0,0,0,255,255,255,66,5733.828,"Slaris",R,10,123,1.356,0.288,0,0,400,0,0,0,1,5,L,"shimenawa",174.9,100,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185,-37.345,0.164,-17.036,-24.205,-48.994,-14.248,-64.337,22.381,-50.206,14.696,-67.135,42.195,-83.847,0.514,-109.427,-37.521,-80.746,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
131,6,0,3,2,0,1,0,0,0,0,255,255,255,67,5749.438,"Slaris",R,14,121,0.875,-1.318,4,384.584,319.524,0,0,1,1,5,L,"shimenawa",174.9,100,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041,-37.454,0.178,-17.088,-24.354,-49.039,-13.954,-64.613,21.276,-48.753,15.936,-68.021,42.186,-83.816,0.568,-109.459,-38.282,-82.002,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
132,6,0,3,2,0,2,0,0,0,0,255,255,255,68,5765.34,"Slaris",R,0,136,-1.187,1.511,2,16.345,-146.009,0,0,1,1,5,L,"shimenawa",174.9,100,0.2,3,59,5766.465,145,57,2,107,64,48.257,10.22,-0.46,-0.081,-0.029,0.324,0,0,0,-0.491,-36.789,-0.128,-17.107,-24.354,-49.046,-13.864,-64.509,21.234,-49.159,12.752,-66.406,42.217,-83.893,0.572,-109.413,-38.293,-81.991,5771.27,-6.715,-58.735,5771.436,3,"˗ˋˏ 카피 ˎˊ˗",-6.528,-57.589,0,0,0,0,0,0,0,1
133,6,0,3,2,0,0,1,0,0,0,255,255,255,69,5799.641,"Slaris",R,13,114,-2.143,-1.257,2,-370.433,335.826,0,0,1,2,3,R,"D_arling",165,100.283,0.402,3,59,5800.512,157,138,100,151,62,-30,40.853,1,-0.018,-0.068,0.298,0,0,0,-0.222,-36.727,-0.47,-17.05,-23.414,-48.18,-16.082,-63.585,17.808,-51.51,7.846,-67.037,30.675,-86.203,-5.262,-106.268,-44.251,-84.844,5800.719,-1.137,-21.758,5803.336,2,"アリアル",-19.12,-43.63,0,0,0,0,0,0,0,2
134,6,0,3,2,0,0,2,0,0,0,255,255,255,70,5828.051,"Slaris",R,0,138,1.019,0.376,2,8.683,-152.191,0,0,1,3,1,R,"白霜らいふ",190,86,0.697,2,59,5829.097,213,146,38,155,96,63.311,19.557,-0.51,-0.068,-0.093,0.492,0,0,0,-0.111,-36.994,0.149,-17.035,-23.425,-48.08,-15.174,-64.132,19.112,-50.044,10.859,-66.318,29.962,-84.803,-0.582,-102.567,-36.53,-79.65,5835.736,-19.687,-62.92,5835.869,8,"Sabo_10",-19.335,-62.195,0,0,0,0,0,0,0,1
135,7,1,3,2,0,0,0,0,0,0,255,255,255,62,5892.862,"-Alta-",L,0,140,-0.844,0.6,0,-75.106,-187.61,0,0,0,5,3,L,"˗ˋˏ 카피 ˎˊ˗",168,88.492,0.554,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-37.126,-0.109,-16.486,-22.722,-47.944,-10.097,-62.313,17.333,-44.176,10.955,-63.41,34.905,-84.608,-0.253,-115.552,-46.537,-84.747,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
136,7,1,3,2,0,1,0,0,0,0,255,255,255,63,5909.461,"-Alta-",L,3,132,1.607,-0.107,4,276.77,2.319,0,0,1,5,3,L,"˗ˋˏ 카피 ˎˊ˗",168,88.492,0.554,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,-36.738,0.003,-16.455,-22.747,-47.931,-10.067,-62.306,18.379,-42.771,11.977,-62.478,34.922,-84.674,0.339,-113.649,-51.479,-80.945,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
137,7,1,3,2,0,2,0,0,0,0,255,255,255,64,5927.558,"-Alta-",L,3,109,-4.211,2.313,3,495.455,0,-1.629,-19.61,0,5,3,L,"˗ˋˏ 카피 ˎˊ˗",168,88.492,0.554,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473,-37.19,-1.45,-18.375,-22.739,-47.91,-10.162,-63.497,18.052,-43.954,11.221,-63.423,35.006,-84.621,0.124,-114.665,-47.925,-83.92,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
138,7,1,3,2,0,0,0,1,0,0,3,255,255,65,5971.352,"-Alta-",L,0,140,0.738,0.754,0,-74.082,-163.833,0,0,1,6,7,R,"ke ro",160,97.254,0.403,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,-37.394,0.099,-16.287,-17.873,-39.946,-10.117,-61.593,16.862,-44.446,11.349,-64.817,34.976,-84.716,0.302,-112.592,-47.29,-84.56,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
139,7,1,3,2,0,1,0,1,0,0,3,255,255,66,5990.025,"-Alta-",L,10,116,0.67,-0.743,2,0,400,0,0,1,6,7,R,"ke ro",160,97.254,0.403,2,59,5991.017,172,130,23,152,90,-15.033,-27.763,0.94,-0.023,-0.05,0.37,0,0,0,0.408,-36.872,0.084,-16.317,-18.026,-39.955,-10.071,-61.585,16.869,-44.439,13.642,-63.558,34.94,-84.905,0.447,-112.672,-46.402,-84.806,5991.219,1.316,-22.816,5992.653,4,"Kenomo",13.655,-45.584,0,0,0,0,0,0,0,2
